Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0603_1608Metric",119.195000,-75.405000,-90.000000,bottom
"C2","100nf","C_0603_1608Metric",138.825000,-75.275000,-90.000000,bottom
"C3","100nf","C_0603_1608Metric",158.275000,-75.155000,-90.000000,bottom
"C5","100nf","C_0603_1608Metric",119.575000,-94.680000,-90.000000,bottom
"C6","100nf","C_0603_1608Metric",138.965000,-94.660000,-90.000000,bottom
"C7","100nf","C_0603_1608Metric",158.175000,-94.535000,-90.000000,bottom
"C8","100nf","C_0603_1608Metric",177.665000,-94.585000,-90.000000,bottom
"C9","100nf","C_0603_1608Metric",119.365000,-113.960000,-90.000000,bottom
"C10","100nf","C_0603_1608Metric",139.105000,-113.955000,-90.000000,bottom
"C11","100nf","C_0603_1608Metric",158.395000,-113.965000,-90.000000,bottom
"C12","100nf","C_0603_1608Metric",177.745000,-114.175000,-90.000000,bottom
"C13","100nf","C_0603_1608Metric",119.865000,-133.100000,-90.000000,bottom
"C14","100nf","C_0603_1608Metric",139.225000,-133.305000,-90.000000,bottom
"C15","100nf","C_0603_1608Metric",158.495000,-133.185000,-90.000000,bottom
"C16","100nf","C_0603_1608Metric",177.745000,-133.270000,-90.000000,bottom
"D1","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",114.210000,-73.760000,0.000000,bottom
"D2","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",133.480000,-73.730000,0.000000,bottom
"D3","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",152.915000,-73.500000,0.000000,bottom
"D5","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",114.335000,-93.050000,0.000000,bottom
"D6","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",133.655000,-93.060000,0.000000,bottom
"D7","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",152.845000,-92.930000,0.000000,bottom
"D8","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",172.415000,-93.000000,0.000000,bottom
"D9","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",114.145000,-112.340000,0.000000,bottom
"D10","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",133.525000,-112.300000,0.000000,bottom
"D11","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",152.635000,-112.370000,0.000000,bottom
"D12","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",172.195000,-112.360000,0.000000,bottom
"D13","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",114.325000,-131.620000,0.000000,bottom
"D14","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",134.010000,-131.710000,0.000000,bottom
"D15","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",152.935000,-131.650000,0.000000,bottom
"D16","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",172.135000,-131.590000,0.000000,bottom
"D17","1N4148W","D_SOD-123",112.372500,-59.270000,180.000000,bottom
"D18","1N4148W","D_SOD-123",112.052500,-78.950000,180.000000,bottom
"D19","1N4148W","D_SOD-123",111.985000,-98.160000,180.000000,bottom
"D20","1N4148W","D_SOD-123",111.632500,-117.370000,180.000000,bottom
"D21","1N4148W","D_SOD-123",131.515000,-59.360000,180.000000,bottom
"D22","1N4148W","D_SOD-123",131.255000,-78.870000,180.000000,bottom
"D23","1N4148W","D_SOD-123",131.245000,-98.350000,180.000000,bottom
"D24","1N4148W","D_SOD-123",131.052500,-117.430000,180.000000,bottom
"D25","1N4148W","D_SOD-123",150.755000,-59.320000,180.000000,bottom
"D26","1N4148W","D_SOD-123",150.325000,-78.840000,180.000000,bottom
